城市,贷款金额,期限,月供,还款总费用,月管理费,期限最低范围,期限最高范围,还款方式,放款日期,审批时间,担保方式,申请人数,申请条件,总利息
广州,10万元,12月,8662,0.39,参考月利率 0.60%,1,24,分期还款,7,7,信用贷,1,税前收入5000以上、名下有本地房产、工作半年以上1、客户类别：公务员、行政事业单位、大型国有企业正式在编人员、公立学校教师，公立医院医生2、收入要求：税前收入5000以上，需提供工资流水3、工作年限：在现单位连续工作满6个月4、房产要求：需提供名下本地房产5、行业限制：暂不接受私营业主和个体工商户等自雇人士申请温馨提示：税前收入5000以上、名下有本地房产、工作半年以上方可申请,3146.2
广州,10万元,12月,10483,2.58,月管理费 2.15%,1,36,分期还款,1,1,信用贷,1,22-60周岁、月收入3000元以上、任职单位半年以上1、贷款人群：白领上班族2、年龄22-60周岁的中国公民3、月收入3000元以上4、在本单位连续工作6个月以上5、必须有信用记录（贷过款或者使用过信用卡）温馨提示：必须有信用记录、月收入3000元以上方可申请,25800
广州,10万元,12月,8662,0.39,参考月利率 0.60%,1,12,分期还款,12,7,信用贷,0,1、身份证2、户口本3、婚姻证明（结婚证、离婚证、民政局开具的未婚证明）4、房产证明5、工作证明6、最近6个月的银行流水,3146.2
广州,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,1、身份证2、工作证明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
广州,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,1、身份证2、工作证明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
广州,10万元,12月,10133,2.16,月管理费 1.80%,1,36,分期还款,2,2,信用贷,1,22-60周岁、广州本地有房产、个人信用记录良好1、在广州本地有房产2、个人信用记录良好3、年龄22-60周岁的国内居民（不含港、澳、台居民）温馨提示：在广州本地有房产、信用记录良好方可申请,21600
南京,10万元,12月,10113,2.14,月管理费 1.78%,1,36,分期还款,3,2,信用贷,1,22-60周岁、打卡工资4000以上、征信良好1、公务员、警察、教师、医生、律师、会计师，提供职业或营业资格证2、打卡工资4000以上3、22-60周岁温馨提示：老师、医生、教师等优质职业或近3-6个月网银发薪4000元以上上班族方可申请,21360
南京,10万元,12月,10433,2.52,月管理费 2.10%,1,36,分期还款,3,2,信用贷,1,南京女性、社保或公积金满6个月、信用记录良好1、南京女性2、缴纳社保或公积金6个月以上且单位注册满1年，3、名下至少有一张额度不少于1万的信用卡且卡使用不少于6个月温馨提示：南京女性、社保或公积金满6个月、信用记录良好方可申请,25200
南京,10万元,12月,10713,2.86,月管理费 2.38%,1,36,分期还款,3,2,信用贷,1,征信记录良好、月流水2000以上、需要近3个月流水1、征信记录良好且满1年以上2、可以提供工作证明和近3个月银行流水3、每月流水达到2000以上温馨提示：征信记录良好、月流水2000以上、需要近3个月流水方可申请,28560
南京,10万元,12月,10046,2.06,月管理费 3.00%,1,12,随借随还,0,1,抵押贷,1,南京有车产、有还款来源、无不良信用记录1、南京车主，自有车辆2、无不良信用记录3、有还款来源温馨提示：南京有车产、有还款来源、无不良信用记录方可申请,36000
南京,10万元,12月,10046,2.06,月管理费 3.00%,1,12,随借随还,0,1,抵押贷,1,南京有房产、有还款来源、无不良信用记录1、南京有房产，两证齐全2、无不良信用记录3、有还款来源温馨提示：南京有房产、有还款来源、无不良信用记录方可申请,36000
南京,10万元,12月,10713,2.86,月管理费 2.38%,1,36,分期还款,3,2,信用贷,1,征信记录良好、月流水2000以上、需要近3个月流水1、征信记录良好且满1年以上2、可以提供工作证明和近3个月银行流水3、每月流水达到2000以上温馨提示：征信记录良好、月流水2000以上、需要近3个月流水方可申请,28560
南京,10万元,12月,10333,2.4,月管理费 2.00%,1,36,分期还款,3,3,信用贷,1,上班满六个月、22-60周岁、打卡工资3000以上1、上班满六个月2、22-60周岁3、打卡工资3000以上温馨提示：上班满六个月、22-60周岁、打卡工资3000以上方可申请,24000
南京,10万元,12月,10833,3,参考月利率 1.00%,1,12,分期还款,2,2,信用贷,0,1、身份证、结婚证2、房产证、土地证3、居住证明、工作证明4、收入证明、银行流水5、征信报告、南京本地担保人,3550.3
南京,10万元,12月,9749,1.9,参考月利率 1.00%,1,12,分期还款,3,2,抵押贷,0,1、身份证、结婚证、户口本2、抵押车辆相关的钥匙3、机动车登记证书、行车证4、购车发票、购置税、养路费、保险单据5、最好提供一个本地担保人,4395.8
南京,10万元,12月,9833,1.8,参考月利率 1.50%,1,12,分期还款,10,5,抵押贷,1,本地企事业单位员工、22-55周岁、信用逾期不超过90天1、在本地上班的公务员、企事业单位正式员工2、22-55周岁的中国合法公民（无民间借贷）3、信用逾期不能有超过90天的记录温馨提示：本地工作的公务员、企事业单位正式员工、信用逾期不能过90天方可申请,6495.4
南京,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,1、身份证2、工作证明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
南京,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,1、身份证2、工作证明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
南京,10万元,12月,9613,1.54,参考月利率 0.37%,1,36,分期还款,1,0,信用贷,0,1、身份证2、工作证明3、收入证明4、住址证明,1665.7
南京,10万元,12月,10603,2.72,参考月利率 0.37%,1,36,分期还款,1,0,信用贷,0,1、身份证2、寿险保单3、主险条款第一页4、首缴保费发票5、住址证明6、工作证明,1380
南京,10万元,12月,9613,1.54,参考月利率 0.37%,1,36,分期还款,1,0,信用贷,0,1、身份证2、房产证明（购房合同、购房发票、还贷流水、抵押合同）3、、最近半年银行流水4、工作证明5、住址证明,1665.7
南京,10万元,12月,9497,1.4,参考月利率 0.37%,1,36,分期还款,1,0,信用贷,0,1、车主身份证2、车辆行驶证3、车辆登记证4、商业险保险单5、交强险保险单6、住址证明7、工作证明,1699.2
南京,10万元,12月,10113,2.14,月管理费 1.78%,1,36,分期还款,3,2,信用贷,1,征信记录良好、打卡工资4000以上、要近3个月流水1、征信记录良好2、可以提供工作证明和近3个月银行流水3、打卡工资4000以上4、负债少于1万5温馨提示：征信记录良好、打卡工资4000以上、有近3个月流水方可申请,21360
南京,10万元,12月,10113,2.14,月管理费 1.78%,1,36,分期还款,3,2,信用贷,1,征信记录良好、打卡工资4000以上、要近3个月流水1、征信记录良好2、可以提供工作证明和近3个月银行流水3、打卡工资4000以上4、负债少于1万5温馨提示：征信记录良好、打卡工资4000以上、有近3个月流水方可申请,21360
南京,10万元,12月,11833,4.2,月管理费 3.50%,1,12,分期还款,1,1,抵押贷,1,22-55周岁、车牌在本人名下、裸车价值8万以上1、22-55周岁2、车牌且须在申请人本人名下南京的牌照3、估值要求：裸车价至少8万以上4、车龄要求：最长不超过5年5、其他要求：车辆现未被抵押6、必须是私家车7、如果是3万以下的车子也可以但需要押车温馨提示：车牌须为本人名下的南京车牌、裸车价值8万以上方可申请,42000
上海,10万元,12月,9183,1.02,月管理费 0.85%,1,36,分期还款,2,2,信用贷,1,20-60周岁、名下拥有房产、信用良好1、年龄条件：20-60周岁2、信用条件：信用良好（一年内不能有超过三次逾期）3、房产条件：个人名下拥有房产4、上班满半年以上温馨提示：20-60周岁、名下拥有房产、信用良好方可申请,10200
上海,10万元,12月,9533,1.44,月管理费 1.20%,1,60,分期还款,1,1,信用贷,1,22-55周岁、打卡工资3000以上、名下有上海地区商品房1、上海地区有固定工作2、本人名下有上海地区商品房3、年龄22-55周岁4、连续六个月打卡工资3000以上温馨提示：22-55周岁、打卡工资3000以上、名下有上海地区商品房,14400
上海,10万元,12月,9453,1.34,参考月利率 0.47%,1,12,分期还款,10,5,信用贷,1,打卡工资5000以上、有上海本地房产、信用良好1、优质行业：申请人需为公务员、事业编制人员或为电信、电力、烟草、炼化、盐务、律师、会计师等行业普通工作人员2、收入要求：月打卡工资收入5000元以上3、房产要求：必须拥有上海本地房产温馨提示：打卡工资5000以上、有上海本地房产、信用良好方可申请,2174.5
上海,10万元,12月,8695,0.43,参考月利率 0.66%,1,12,到期还款,20,15,信用贷,0,1、本人身份证2、单位开具的收入证明（需为银行提供范本并加盖公章或人事章）3、房产证、行驶证自愿提供可有助于提高授信额度,3443.8
上海,10万元,12月,10633,2.76,参考月利率 0.90%,1,12,分期还款,1,1,信用贷,1,22-60周岁、现单位工作6个月、月收入3000元以上1、年龄22-60周岁的大陆居民2、在上海市工作和居住3、现职单位工作6个月以上、月收入3000元以上（从事销售行业或薪资为佣金制的，须提供近6个月银行流水）温馨提示：上海工作居住6个月以上、月收入3000以上方可申请,3335.6
上海,10万元,12月,9613,1.54,参考月利率 0.45%,1,24,分期还款,15,10,信用贷,0,1、身份证2、工作证3、社保基数4、工资流水5、面签资料,2025.8
上海,10万元,12月,10013,2.02,月管理费 1.68%,1,48,分期还款,3,2,信用贷,0,1、身份证2、水电煤账单3、打卡工资流水（6个月）4、社保公积金网上查询账号及密码5、收入证明或劳动合同,20160
上海,10万元,12月,10046,2.26,月管理费 3.00%,1,12,到期还款,2,1,抵押贷,0,1、身份证、征信报告2、3-6个月对账单3、车辆四证（行驶证、购车发票、商业险、交强险）4、车辆4面照片,36000
上海,10万元,12月,10333,2.4,月管理费 2.00%,1,12,分期还款,3,2,抵押贷,0,抵押车辆提供1、身份证2、行驶证3、车辆登记证4、暂住证（外地户籍才需要）不抵押车辆提供1、身份证2、行驶证3、车辆登记证4、车辆保险单5、工作证明或营业执照6、近6个月流水7、暂住证（外地户籍才需要提供）,24000
上海,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,1、身份证2、工作证明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
上海,10万元,12月,9168,1,月管理费 1.50%,1,12,到期还款,1,1,抵押贷,0,1、夫妻双方身份证2、夫妻双方户口本3、婚姻证明4、收入证明5、银行流水6、居住证7、购车合同8、订车收据,18000
上海,10万元,12月,9456,1.75,月管理费 2.00%,1,12,到期还款,3,1,抵押贷,0,1、房产地址下带有申请者姓名或直系亲属姓名的有效单据2、身份证3、征信报告,24000
上海,10万元,12月,10333,2.4,月管理费 2.00%,1,24,分期还款,1,1,信用贷,0,1、身份证2、工作收入证明3、征信报告,24000
上海,10万元,12月,12333,4.8,月管理费 4.00%,1,12,分期还款,1,1,抵押贷,0,1、身份证2、银行卡3、保险单4、车辆登记证5、行驶证6、2个备用钥匙,48000
上海,10万元,12月,10333,2.4,月管理费 2.00%,1,12,分期还款,2,1,自由选,1,名下有上海牌照全款车、非本地人提供暂住证、征信记录良好1、主贷人名下有上海牌照全款车2、非上海人需要提供有效暂住证3、不押车参考月利率：等本等息1.99%，先息后本3.5%4、押车参考月利率：等本等息1.79%，先息后本4.5%温馨提示：主贷人名下有上海牌照全款车方可申请,24000
上海,10万元,12月,8933,0.72,参考月利率 0.60%,1,36,分期还款,3,2,信用贷,1,23-60周岁、有房产、按揭还款1年以上1、23-60周岁2、房子银行按揭还款达1年以上3、未结清房贷总金额大于10万温馨提示：23-60周岁、有房产、按揭还款1年以上方可申请,3019.4
上海,10万元,12月,9168,1.3,参考月利率 1.50%,1,12,到期还款,1,1,抵押贷,0,1、身份证 2、房产证 3、户口本,7273.4
上海,10万元,12月,10333,2.4,月管理费 2.00%,1,24,分期还款,1,1,抵押贷,1,18-65岁、名下有车、信用良好1、18-65岁2、上海牌照、外地牌照、黄牌都可3、上海本地人上班族或者外地人在上海有房或者有企业的4、信用良好、征信空白也可申请温馨提示：18-65岁、名下有车方可申请,24000
上海,10万元,12月,10433,2.52,月管理费 2.10%,1,36,分期还款,5,3,信用贷,1,22-55周岁、月流水2000以上、工作6个月以上1、年龄22-55周岁的中国大陆公民2、要求在现单位连续工作满6个月、一般销售人员转正后满9个月3、月工资流水2000以上温馨提示：22-55周岁、月流水2000以上、工作6个月以上方可申请,25200
西安,10万元,12月,10113,2.14,月管理费 1.78%,1,36,分期还款,3,1,信用贷,1,22-60周岁、居住时间满6个月、提供打卡工资流水1、中国国籍居民（不含港、澳、台居民）2、22-60周岁3、目前住址居住时间满6个月以上4、公务员、医生、律师及打卡发薪客户5、需提供打卡工资流水温馨提示：需提供现单位有效工作证明，近3-6个月银行流水方可申请,21360
西安,10万元,12月,11833,4.2,月管理费 3.50%,1,12,分期还款,3,3,抵押贷,1,22-60周岁、本地有车、裸车价格在10万以上1、22-60周岁2、本人名下拥有在当地车管所登记的国产或进口机动车即申请人须拥有对该车辆的所有权3、裸车价格在10万以上4、车辆在5年之内5、可以押车，也可以不押车，安装GPS温馨提示：22-60周岁、本地有车、裸车价格在10万以上方可申请,42000
西安,10万元,12月,10333,2.4,参考月利率 1.50%,1,36,分期还款,5,2,信用贷,0,1、身份证2、居住证明3、工作证明4、收入证明5、征信报告,5910.4
西安,10万元,12月,9456,1.35,月管理费 2.00%,1,12,到期还款,3,1,抵押贷,0,1、身份证2、户口本3、房产证银行流水4、住址证明5、工作证明,24000
西安,10万元,12月,10333,2.4,月管理费 2.00%,1,12,分期还款,3,1,抵押贷,0,1、身份证2、户口本3、行驶证4、购车发票5、保险单,24000
西安,10万元,12月,11833,4.2,月管理费 3.50%,1,12,分期还款,1,1,抵押贷,1,22-60周岁、本地户口、名下有全款车1、机动车辆贷款额度不超过该车市值的80%2、贷款期限最短为15天，最长不超过180天3、本地户口4、有车（私有车辆、公司车辆）5、车龄五年以内6、个人信用良好7、年龄22-60周岁温馨提示：本地户口、有车、个人信用良好方可申请,42000
西安,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,1、身份证2、工作证明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
西安,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,1、身份证2、工作证明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
西安,10万元,12月,10713,2.86,月管理费 2.38%,1,36,分期还款,3,1,信用贷,1,22-60周岁、中国国籍居民、居住时间满6个月1、中国国籍居民（不含港澳台居民）2、22-60周岁3、目前住址居住时间满6个月4、英才贷月利率1.78%，工薪贷2.38%，公务员、企事业单位等优质行业和资质参考月利率1.78%；针对现金发薪客户，方便快捷，参考月利率2.38%温馨提示：22-60周岁、本地居住满6个月可以申请,28560
重庆,10万元,12月,11833,4.2,月管理费 3.50%,1,12,分期还款,3,3,抵押贷,1,22-60周岁、本地有车、裸车价格在10万以上1、22-60周岁2、本人名下拥有在当地车管所登记的国产或进口机动车即申请人须拥有对该车辆的所有权3、裸车价格在10万以上4、车辆在5年之内5、可以押车，也可以不押车，安装GPS温馨提示：22-60周岁、本地有车、裸车价格在10万以上方可申请,42000
重庆,10万元,12月,10483,2.58,月管理费 2.15%,1,36,分期还款,2,2,信用贷,1,月收入2000以上、有信用记录、信用良好1、要求有3个月以上的信用记录2、月收入2000以上温馨提示：月收入2000元以上、有3个月以上的信用记录方可申请,25800
重庆,10万元,12月,11313,3.58,月管理费 2.98%,1,12,分期还款,2,1,抵押贷,0,1、二代身份证（非本地户籍需同时提供暂住证）2、借款人本人的银行借记3、机动车登记证（当地车管所核发的正式机动车登记证）4、机动车行驶证（当地车管所核发的正式机动车行驶证）强保卡、其他商业保险单据、车辆购置税、原车发票5、原车辆钥匙（全部）,35760
重庆,10万元,12月,10483,2.58,月管理费 2.15%,1,36,分期还款,2,2,信用贷,1,22-60周岁、信用良好、有全款或贷款商品房1、22-60周岁2、有效的银行信用记录（无恶意逾期）3、名下有全款或贷款商品房温馨提示：22-60周岁、名下有全款或贷款的商品房方可申请,25800
重庆,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,1、身份证2、工作证明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
重庆,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,1、身份证2、工作证明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
重庆,10万元,12月,9456,1.35,月管理费 2.00%,1,12,到期还款,1,1,抵押贷,0,1、二代身份证2、按揭合同（房产证）3、居住证明（水、电、煤单据）4、工作证明或营业执照,24000
重庆,10万元,12月,9168,1.2,参考月利率 0.75%,1,12,到期还款,3,1,抵押贷,0,1、身份证2、户口本3、婚姻证明4、征信5、收入证明6、产权证明,3636.7
重庆,10万元,12月,9583,1.5,参考月利率 1.25%,1,12,分期还款,3,2,抵押贷,0,1、身份证2、经营证明3、信用证明4、还款能力证明5、资产证明,5656.6
杭州,10万元,12月,8983,0.78,月管理费 0.65%,1,36,分期还款,10,7,信用贷,1,工资5000以上、有房产,7800
杭州,10万元,12月,10633,2.76,月管理费 2.30%,1,36,分期还款,1,1,信用贷,1,卡流水、九个月以上社保,27600
杭州,10万元,12月,10323,2.39,月管理费 1.99%,1,12,分期还款,1,1,抵押贷,1,少8万以上、车龄要求不超过5年,23880
杭州,10万元,12月,10133,2.16,月管理费 1.80%,1,36,分期还款,1,1,信用贷,1,卡流水、有社保6个月,21600
杭州,10万元,12月,10133,2.16,月管理费 1.80%,1,36,分期还款,1,1,信用贷,1,卡流水、有社保6个月,21600
杭州,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
杭州,10万元,12月,9214,1.26,参考月利率 1.58%,1,12,到期还款,3,2,抵押贷,0,要提供夫妻双方）2、个人征信报告（已婚的需要提供夫妻双方，合伙做生意的需要合伙人的信用报告）3、营业执照（有限公司提供公司章程或者验资报告）、特殊行业需提供相关证照（比如网吧需要提供网吧证）4、近半年的对公或对私账户流水,7604.7
杭州,10万元,12月,9883,1.86,月管理费 1.55%,1,12,分期还款,2,1,抵押贷,1,产、信用良好,18600
济南,10万元,12月,10333,2.4,月管理费 2.00%,1,36,分期还款,3,3,信用贷,1,月收入2000以上、有信用记录、信用良好1、要求有3个月以上的信用记录2、月收入2000以上温馨提示：月收入2000元以上、有3个月以上的信用记录方可申请,24000
济南,10万元,12月,10333,2.4,月管理费 2.00%,1,12,分期还款,3,2,抵押贷,1,22-60周岁、裸车5万以上、征信良好1、22-60周岁2、鲁A全款轿车3、5年内的车4、价值5万以上温馨提示：22-60周岁、裸车5万以上、征信良好方可申请,24000
济南,10万元,12月,8607,0.33,参考月利率 0.50%,1,48,分期还款,3,1,自由选,0,1、身份证2、工作证明3、个人征信报告、3-6个月银行流水4、住址证明，例如：合同期内的租赁合同、电费单、水费单、燃气单、电话费单、暂住证、户口本5、鼓励提供房产、车产附加财力证明,2643.3
济南,10万元,12月,9456,1.35,月管理费 2.00%,1,12,到期还款,2,1,抵押贷,0,1、身份证2、户口本3、房产证银行流水4、住址证明5、工作证明,24000
青岛,10万元,12月,10913,3.1,月管理费 2.58%,1,36,分期还款,5,3,信用贷,1,22-55周岁、工作不少于6个月、名下在本地有房产1、22-55周岁2、申请人现职单位工作时间不少于6个月3、申请人名下在进件地有房产（含商品房及非商品房，不含军产房、自建房和宅基地，抵押类房产还贷至少体现1个月）温馨提示：22-55周岁、工作不少于6个月、名下在本地有房产方可申请,30960
青岛,10万元,12月,8885,0.86,月管理费 1.00%,1,24,到期还款,3,2,抵押贷,1,22-55周岁、信用不要太差、青岛有房产1、22-55周岁2、月流水覆盖还款额3、信用不要太差4、青岛有房产温馨提示：22-55周岁、信用不要太差、青岛有房产方可申请,12000
青岛,10万元,12月,10633,2.76,月管理费 2.30%,1,36,分期还款,3,1,信用贷,1,22-55周岁、在事业单位工作、工资3000元以上1、22-55周岁2、政府机关单位、国企单位、事业单位、上市公司、全球500强企业、教师、律师、医生等等（申请人必须为单位正式在编人员，不包括一线操作人员和劳务派遣人员）3、打卡工资3000元以上温馨提示：22-55周岁、在事业单位工作、工资3000元以上方可申请,27600
青岛,10万元,12月,9054,1.17,月管理费 1.30%,1,12,到期还款,3,2,抵押贷,1,18-60周岁、个人名下有商品房、征信无要求1、18-60周岁2、流水有无都可（越多越好）3、征信无要求4、个人名下有商品房温馨提示：18-60周岁、个人名下有商品房方可申请,15600
青岛,10万元,12月,10333,2.4,月管理费 2.00%,1,12,分期还款,5,3,信用贷,1,22-60周岁、有稳定的收入来源、本地有房产1、22-60周岁的上班族或个体企业主2、有稳定的收入来源3、本地有房产温馨提示：22-60周岁、有稳定的收入来源、本地有房产方可申请,24000
青岛,10万元,12月,10913,3.1,月管理费 2.58%,1,36,分期还款,5,5,信用贷,1,年满22-55周岁、工作时间不少于6个月、本地有房产1、受薪人士现职单位工作时间不少于6个月 2、申请人所在单位为非个体户 3、关于工资发放形式需满足其一 （1）申请人工资发放形式为网银支付或网银加现金支付（2）若申请人为现金发放，需满足本地人或者本人（直系亲属名下）有房产或申请人为公司法人，占股小于20%4、申请人名下在进件地有房产。注：含商品房及非商品房（不含军产房、自建房和宅基地）（抵押类房产还贷至少体现一个月）温馨提示：年满22-55周岁、工作时间不少于6个月、本地有房产方可申请,30960
青岛,10万元,12月,10433,2.52,月管理费 2.10%,1,36,分期还款,3,1,信用贷,1,22-55周岁、青岛有房产、使用信用卡1、22-55周岁2、申请人名下或者直系亲属（仅限配偶、父母、子女）在青岛名下有房产3、至少有一张额度大于5000的信用卡，并且使用半年温馨提示：申请人名下或者直系亲属（仅限配偶、父母、子女）在青岛名下有房产,25200
青岛,10万元,12月,10633,2.76,月管理费 2.30%,1,36,分期还款,3,1,信用贷,1,信用卡额度大于8000、月消费大于2000、开通满6个月1、信用卡额度大于8000 ?2、近三个月每个月消费大于2000 ?3、信用卡开通6个月温馨提示：信用卡额度大于8000、月消费大于2000、开通满6个月方可申请,27600
